,All,Maeginal Distance Effect After 2012 in East,Maeginal Distance Effect After 2012 in West,,Base Price from Log(250000),Base Price in West,,,,,,,,,,,,,,,,,
Dist,-0.07649,-0.00539,-0.37035,,8.97032,8.80447,,,,,,,,,,,,,,,,,
Dist_sq,0.0255,0.000033,0.09092,,,,,,,Price Premium by Distance from t606,,,,Price Premium Chcanges by Distance,,,,,,,,,
ML,Until 2012,After 2012 in East,After 2012 in West,,,,Price until 2012,Price After 2012 in East,Price After 2012 in West,Price Premium Unitl 2012,Price Premium After 2012 in East,Price Premium After 2012 in West,,Price Premium from 606 Trail East,Price Premium from 606 Trail West,,,,,,,,
0.1,8.962926,8.96238733,8.76041153,7808.170778,7803.965883,6376.735256,198.52,201.59,260.57,0.8%,0.8%,26.5%,,1.5%,27.2%,,,Pre-2012,East Side Post-2012,West Side Post-2012,,,
0.2,8.956042,8.95496532,8.71868212,7754.603919,7746.259185,6116.113471,197.16,200.10,249.92,-1.4%,0.0%,22.3%,,1.5%,23.7%,,Distance 1/5 Mile,-1.4%,0.0%,22.3%,,,
0.3,8.949668,8.94805397,8.67928177,7705.333266,7692.906658,5879.82201,195.91,198.72,240.26,-2.1%,-0.6%,18.3%,,1.4%,20.4%,,Distance 1/2 Mile,-3.2%,-1.9%,11.2%,,,
0.4,8.943804,8.94165328,8.64221048,7660.281413,7643.823996,5665.840219,194.76,197.45,231.52,-2.7%,-1.3%,14.6%,,1.4%,17.3%,,,,,,,,
0.5,8.93845,8.93576325,8.60746825,7619.377862,7598.933975,5472.376436,193.72,196.29,223.62,-3.2%,-1.9%,11.2%,,1.3%,14.4%,,,,,,,,
0.6,8.933606,8.93038388,8.57505508,7582.558844,7558.166248,5297.843235,192.78,195.24,216.48,-3.7%,-2.4%,7.9%,,1.3%,11.6%,,,,,,,,
0.7,8.929272,8.92551517,8.54497097,7549.767145,7521.457164,5140.835891,191.95,194.29,210.07,-4.1%,-2.9%,4.9%,,1.2%,9.0%,,,,,,,,
0.8,8.925448,8.92115712,8.51721592,7520.951965,7488.7496,5000.113644,191.22,193.45,204.32,-4.5%,-3.3%,2.1%,,1.2%,6.6%,,,,,,,,
0.9,8.922134,8.91730973,8.49178993,7496.068784,7459.992815,4874.583432,190.59,192.70,199.19,-4.8%,-3.7%,-0.4%,,1.1%,4.4%,,,,,,,,
1.0,8.91933,8.913973,8.468693,7475.079248,7435.142315,4763.285785,190.05,192.06,194.64,-5.1%,-4.1%,-2.7%,,1.1%,2.4%,,,,,,,,
1.1,8.917036,8.91114693,8.44792513,7457.95107,7414.159746,4665.382624,189.62,191.52,190.64,-5.3%,-4.3%,-4.8%,,1.0%,0.5%,,,,,,,,
1.2,8.915252,8.90883152,8.42948632,7444.657946,7397.012785,4580.146759,189.28,191.08,187.16,-5.5%,-4.6%,-6.6%,,0.9%,-1.1%,,,,,,,,
1.3,8.913978,8.90702677,8.41337657,7435.179491,7383.675065,4506.95289,189.04,190.73,184.17,-5.6%,-4.7%,-8.2%,,0.9%,-2.6%,,,,,,,,
1.4,8.913214,8.90573268,8.39959588,7429.501184,7374.126105,4445.269962,188.89,190.48,181.65,-5.7%,-4.9%,-9.6%,,0.8%,-3.9%,,,,,,,,
1.5,8.91296,8.90494925,8.38814425,7427.61433,7368.351256,4394.654742,188.85,190.34,179.58,-5.7%,-5.0%,-10.8%,,0.8%,-5.0%,,,,,,,,
