Submarket (PUMA),Share of Affordable Units,Share of Renters that are Lower-Income,Share of Lower-Income Renters in Unaffordable Units,Change in Share of Units that are Affordable,Change in Share of Renters that are Lower-Income,Change in Share of Lower-Income Renters in Unaffordable Units
Uptown/Rogers Park,43.90%,49.50%,35.10%,-8.40%,-5.90%,6.40%
Lake View/Lincoln Park,15.70%,24.50%,57.20%,-5.20%,-4.30%,2.70%
Lincoln Square/North Center,21.30%,38.00%,60.50%,-11.30%,-0.20%,11.50%
Irving Park/Albany Park,34.40%,38.30%,48.50%,-10.90%,-7.50%,11.80%
Portage Park/Jefferson Park,36.50%,37.00%,49.30%,-12.30%,-7.10%,9.10%
Austin/Belmont Cragin,47.60%,63.60%,42.90%,-7.30%,-4.40%,5.20%
Logan Square/Avondale,25.90%,31.40%,51.20%,-14.40%,-16.50%,9.00%
Humboldt Park/Garfield Park,56.10%,66.20%,35.60%,-4.80%,-4.60%,2.20%
West Town/Near West Side,24.10%,31.70%,43.50%,-11.30%,-11.00%,5.70%
Loop,12.10%,26.70%,64.50%,-2.60%,-0.60%,10.70%
Bridgeport/Brighton Park,62.70%,60.80%,29.90%,-4.00%,-2.50%,5.00%
Gage Park/West Lawn,52.20%,60.30%,34.50%,0.00%,0.50%,-11.20%
Englewood/Greater Grand Crossing,66.80%,74.90%,27.10%,6.50%,-1.10%,-8.90%
Bronzeville/Hyde Park,52.40%,64.40%,35.20%,-4.70%,-4.10%,2.10%
Beverly/Morgan Park,50.60%,55.50%,38.40%,1.30%,-2.50%,-3.90%
Auburn Gresham/Chatham,56.90%,71.00%,36.30%,-1.30%,0.40%,-0.60%
South Chicago/West Pullman,65.00%,64.80%,31.60%,6.30%,-5.10%,-6.10%
